movie_title,rating,genre,in_theaters_date,movie_info,directors,director_gender,tomatometer_rating,audience_rating,critics_consensus
Among Wolves,NR,Documentary,2/8/19,"In the mountains where they once fought, a motorcycle club led by Bosnian war veterans defends a herd of wild horses and discovers a new kind of freedom for themselves.",Shawn Convey,male,100,91,
Angel of Mine,R,"Drama, Mystery & Suspense",8/30/19,"Noomi Rapace (The Girl with the Dragon Tattoo) stars as a woman on the edge in this intense psychological thriller. Having suffered a tragic loss years earlier, Lizzie (Rapace) is trying to rebuild her life when she suddenly becomes obsessed with a neighbor's daughter, believing the girl to be her own child. As Lizzie's shocking, threatening acts grow increasingly dangerous, they lead to an explosive confrontation with the girl's angry, defensive mother (Yvonne Strahovski, ""The Handmaid's Tale"").",Kim Farrant,female,68,95,
Anna,R,"Action & Adventure, Mystery & Suspense",6/21/19,"Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins. An electrifying thrill ride unfolding with propulsive energy, startling twists and breathtaking action, ANNA introduces Sasha Luss in the title role with a star-studded cast including Academy Award Winner Helen Mirren, Cillian Murphy, and Luke Evans.",Luc Besson,male,36,81,"Anna finds writer-director Luc Besson squarely in his wheelhouse, but fans of this variety of stylized action have seen it all done before -- and better."
Annabelle Comes Home,R,"Horror, Mystery & Suspense",6/26/19,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her ""safely"" behind sacred glass and enlisting a priest's holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target -- the Warrens' ten-year-old daughter, Judy, and her friends.",Gary Dauberman,male,64,70,"Fun for fans even if it isn't as frightening as some of its predecessors, Annabelle Comes Home suggests there's still some life left in the Conjuring franchise."
Apollo 11,G,Documentary,3/1/19,Apollo 11 is a cinematic space event film fifty years in the making. Featuring never-before-seen large-format film footage of one of humanity's greatest accomplishments.,Todd Douglas Miller,male,99,91,"Edifying and inspiring in equal measure, Apollo 11 uses artfully repurposed archival footage to send audiences soaring back to a pivotal time in American history."
Arctic,PG-13,Drama,2/1/19,A man stranded in the Arctic after an airplane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown in hopes of making it out alive.,Joe Penna,male,89,78,Arctic proves that a good survival thriller doesn't need much in the way of dialogue to get by -- especially when Mads Mikkelsen is the one doing the surviving.
Ash Is Purest White,NR,"Drama, Romance",3/15/19,"A tragicomedy initially set in the jianghu-criminal underworld-setting, ASH IS PUREST WHITE is less a gangster movie than a melodrama. With a three-part structure, it begins by following the quick-witted Qiao (Tao Zhao) and her mobster boyfriend Bin (Fan Liao) as they stake out their turf against rivals and upstarts in 2001 postindustrial Datong before expanding out into an epic narrative of how abstract forces shape individual lives, and continues Jia Zhangke's body of work as a record of 21st-century China and its warp-speed transformations.",Zhangke Jia,male,99,68,"Ash Is Purest White finds writer-director Zhangke Jia revisiting familiar themes while continuing to observe modern Chinese society with an urgent, empathetic eye."
Ashes in the Snow,NR,Drama,1/11/19,"During World War II, a 16 year-old aspiring artist and her family are deported to Siberia amidst Stalin's brutal dismantling of the Baltic region. One girl's passion for art and her never-ending hope will break the silence of history",Marius A. Markevicius,male,54,86,
Avengers: Endgame,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",4/26/19,"The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, ""Avengers: Endgame.""","Joe Russo, Anthony Russo",male,94,91,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga."
Babylon,NR,"Action & Adventure, Drama",3/8/19,"Franco Rosso's incendiary Babylon had its world premiere at Cannes in 1980 but went unreleased in the U.S. for ""being too controversial, and likely to incite racial tension"" (Vivien Goldman, Time Out). Raw and smoldering, it follows a young dancehall DJ (Brinsley Forde, frontman of landmark British reggae group Aswad) in South London as he pursues his musical ambitions, battling fiercely against the racism and xenophobia of employers, neighbors, police, and the National Front.",Franco Rosso,male,100,38,
Before Stonewall,NR,"Documentary, Drama, Special Interest",6/21/19,"This documentary by Greta Schiller takes a look at the sometimes oblique American acknowledgment of homosexuals in the decades before a historical flashpoint in 1969. Late that year, the Stonewall Inn, a gay bar in Greenwich Village was stormed by police and its patrons arrested -- resulting in two days of rioting. Allen Ginsberg and other celebrities talk about past police tactics, witch-hunts, censorship, and historical ""cleansing"" operations that violated human rights and civil liberties -- such as routing gays and lesbians out of the State Department. A certain openness about sexual preferences started appearing in the 1920s and accelerated during World War II, eventually culminating in the organized movements of the 1960s and later demanding an end to discrimination. Older and younger generations of gays and lesbians present different viewpoints on a variety of topics, and conflicts or disagreements between gays and lesbians are outlined. The seriousness of the subject of discrimination is balanced with humor, which makes this documentary more accessible to straight audiences unfamiliar with the topic. ~ Eleanor Mannikka, Rovi",Greta Schiller,female,90,79,
Booksmart,R,Comedy,5/24/19,"The story follows Dever and Feldstein's characters, two academic superstars and best friends who, on the eve of their high school graduation, suddenly realize that they should have worked less and played more. Determined never to fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",Olivia Wilde,female,97,77,"Fast-paced, funny, and fresh, Booksmart does the seemingly impossible by adding a smart new spin to the coming-of-age comedy."
Braid,R,"Horror, Mystery & Suspense",2/1/19,"Two wanted women decide to rob their wealthy yet mentally unstable friend who lives in a fantasy world they all created as children. To take her money, the girls must take part in a deadly and perverse game of make believe throughout a sprawling yet decaying estate. As things become increasingly violent and hallucinatory, they realize that obtaining the money may be the least of their concerns.",Mitzi Peirone,female,90,61,
Breakthrough,PG,Drama,4/17/19,"BREAKTHROUGH is based on the inspirational true story of one mother's unfaltering love in the face of impossible odds. When Joyce Smith's adopted son John falls through an icy Missouri lake, all hope seems lost. But as John lies lifeless, Joyce refuses to give up. Her steadfast belief inspires those around her to continue to pray for John's recovery, even in the face of every case history and scientific prediction. From producer DeVon Franklin (Miracles from Heaven) and adapted for the screen by Grant Nieporte (Seven Pounds) from Joyce Smith's own book, BREAKTHROUGH is an enthralling reminder that faith and love can create a mountain of hope, and sometimes even a miracle.",Roxann Dawson,female,61,81,"Like its lead character, Breakthrough is fiercely focused on faith -- but its less subtle elements are balanced by strong performances and an uplifting story."
Brightburn,R,"Horror, Science Fiction & Fantasy",5/24/19,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",David Yarovesky,male,57,67,"Although Brightburn doesn't fully deliver on the pitch-black promise of its setup, it's still enough to offer a diverting subversion of the superhero genre."
Captain Marvel,PG-13,"Action & Adventure, Science Fiction & Fantasy",3/8/19,"The story follows Carol Danvers as she becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.","Anna Boden, Ryan Fleck",female,78,53,"Packed with action, humor, and visual thrills, Captain Marvel introduces the MCU's latest hero with an origin story that makes effective use of the franchise's signature formula."
Captive State,PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy",3/15/19,"Set in a Chicago neighborhood nearly a decade after an occupation by an extra-terrestrial force, ""Captive State"" explores the lives on both sides of the conflict - the collaborators and dissidents.",Rupert Wyatt,male,44,38,"This sci-fi thriller may not necessarily leave viewers in a Captive State, but it offers reasonably diverting alien invasion action with ambitious political undertones."
Charlie Says,R,Drama,5/10/19,"Three young women were sentenced to death for the infamous Manson murders. Their sentences became life imprisonment when the death penalty was lifted in California. One young graduate student was sent in to teach them. Through her, we witness their transformations as they face the reality of their horrific crimes.",Mary Harron,female,60,80,"Charlie Says approaches its infamous subject from a welcome new angle, but suffers from a disappointing lack of depth in its treatment of the story."
Child's Play,R,Horror,6/21/19,"A contemporary re-imagining of the 1988 horror classic, Child's Play follows Karen (Aubrey Plaza), a single mother who gifts her son Andy (Gabriel Bateman) a Buddi doll, unaware of its more sinister nature.",Lars Klevberg,male,63,57,"Child's Play updates an '80s horror icon for the Internet of Things era, with predictably gruesome -- and generally entertaining -- results."
Cold Pursuit,R,"Action & Adventure, Drama, Mystery & Suspense",2/8/19,"COLD PURSUIT, an action thriller infused with irreverent humor, stars Liam Neeson as Nels Coxman, a family man whose quiet life with his wife (Laura Dern) is upended following the mysterious death of their son. Nels' search for justice turns into a vengeful hunt for Viking (Tom Bateman), a drug lord he believes is connected to the death. As one by one of Viking's associates ""disappear,"" Nels goes from upstanding citizen to ice-cold vigilante, letting nothing -- and no one -- get in his way.",Hans Petter Moland,male,70,51,Cold Pursuit delivers the action audiences expect from a Liam Neeson thriller -- along with humor and a sophisticated streak that make this an uncommonly effective remake.
Crawl,R,Horror,7/12/19,"When a massive hurricane hits her Florida hometown, Haley (Kaya Scodelario) ignores evacuation orders to search for her missing father (Barry Pepper). Finding him gravely injured in the crawl space of their family home, the two become trapped by quickly encroaching floodwaters. As time runs out to escape the strengthening storm, Haley and her father discover that the rising water level is the least of their fears.",Alex Aja,male,82,75,"An action-packed creature feature that's fast, terrifying, and benefits greatly from a completely game Kaya Scodelario, Crawl is a fun throw-back with just enough self-awareness to work."
Dark Phoenix,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",6/7/19,"In DARK PHOENIX, the X-MEN face their most formidable and powerful foe: one of their own, Jean Grey. During a rescue mission in space, Jean is nearly killed when she is hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. Wrestling with this entity inside her, Jean unleashes her powers in ways she can neither comprehend nor contain. With Jean spiraling out of control, and hurting the ones she loves most, she begins to unravel the very fabric that holds the X-Men together. Now, with this family falling apart, they must find a way to unite -- not only to save Jean's soul, but to save our very planet from aliens who wish to weaponize this force and rule the galaxy.",Simon Kinberg,male,23,64,Dark Phoenix ends an era of the X-Men franchise by taking a second stab at adapting a classic comics arc -- with deeply disappointing results.
Dolemite Is My Name,R,Drama,10/4/19,"Stung by a string of showbiz failures, floundering comedian Rudy Ray Moore (Academy Award nominee Eddie Murphy) has an epiphany that turns him into a word-of-mouth sensation: step onstage as someone else. Borrowing from the street mythology of 1970s Los Angeles, Moore assumes the persona of Dolemite, a pimp with a cane and an arsenal of obscene fables. However, his ambitions exceed selling bootleg records deemed too racy for mainstream radio stations to play. Moore convinces a social justice-minded dramatist (Keegan-Michael Key) to write his alter ego a film, incorporating kung fu, car chases, and Lady Reed (Da'Vine Joy Randolph), an ex-backup singer who becomes his unexpected comedic foil. Despite clashing with his pretentious director, D'Urville Martin (Wesley Snipes), and countless production hurdles at their studio in the dilapidated Dunbar Hotel, Moore's Dolemite becomes a runaway box office smash and a defining movie of the Blaxploitation era.",Craig Brewer,male,97,91,"In dramatizing Rudy Ray Moore's stranger-than-fiction story, Eddie Murphy makes Dolemite Is My Name just as bold, brash, and ultimately hard to resist as its subject."
Don't Come Back from the Moon,NR,Drama,1/18/19,"DON'T COME BACK FROM THE MOON is a story of abandonment, when all the men in a remote California desert town walk away from their families, one by one. They leave their angry, frustrated sons and daughters behind -- kids who act out, engage in acts of petty burglary and vandalism, and look for love and family connection in the aftermath of their abandonment, all the while trying to understand why their fathers have ""gone to the moon,"" leaving them to traverse the difficult path to adulthood alone.",Bruce Thierry Cheung,male,94,72,
Dragged Across Concrete,R,"Action & Adventure, Drama, Mystery & Suspense",3/22/19,"DRAGGED ACROSS CONCRETE follows two police detectives who find themselves suspended when a video of their strong-arm tactics is leaked to the media. With little money and no options, the embittered policemen descend into the criminal underworld and find more than they wanted waiting in the shadows.",S. Craig Zahler,male,75,68,"As grim and grinding as its title, Dragged Across Concrete opts for slow-burning drama instead of high-speed thrills -- and has just the right cast to make it work."
Dragon Ball Super: Broly,PG,Animation,1/16/19,"A planet destroyed, a powerful race reduced to nothing. After the devastation of Planet Vegeta, three Saiyans were scattered among the stars, destined for different fates. While two found a home on Earth, the third was raised with a burning desire for vengeance and developed an unbelievable power. And the time for revenge has come. Destinies collide in a battle that will shake the universe to its very core!",Tatsuya Nagamine,male,83,92,"Dragon Ball Super: Broly may seem like colorful chaos to newcomers, but for longtime fans, it represents this long-running franchise near its action-packed apogee."
Dumbo,PG,"Animation, Kids & Family, Science Fiction & Fantasy",3/29/19,"From Disney and visionary director Tim Burton, the all-new grand live-action adventure ""Dumbo"" expands on the beloved classic story where differences are celebrated, family is cherished and dreams take flight. Circus owner Max Medici (Danny DeVito) enlists former star Holt Farrier (Colin Farrell) and his children Milly (Nico Parker) and Joe (Finley Hobbins) to care for a newborn elephant whose oversized ears make him a laughingstock in an already struggling circus. But when they discover that Dumbo can fly, the circus makes an incredible comeback, attracting persuasive entrepreneur V.A. Vandevere (Michael Keaton), who recruits the peculiar pachyderm for his newest, larger-than-life entertainment venture, Dreamland. Dumbo soars to new heights alongside a charming and spectacular aerial artist, Colette Marchant (Eva Green), until Holt learns that beneath its shiny veneer, Dreamland is full of dark secrets.",Tim Burton,male,47,50,"Dumbo is held partly aloft by Tim Burton's visual flair, but a crowded canvas and overstretched story leave this live-action remake more workmanlike than wondrous."
Echo In the Canyon,PG-13,Documentary,5/24/19,"Echo In The Canyon celebrates the explosion of popular music that came out of LA's Laurel Canyon in the mid-60s as folk went electric and The Byrds, The Beach Boys, Buffalo Springfield and The Mamas and the Papas gave birth to the California Sound. It was a moment (1965 to 1967) when bands came to LA to emulate The Beatles and Laurel Canyon emerged as a hotbed of creativity and collaboration for a new generation of musicians who would soon put an indelible stamp on the history of American popular music. Featuring Jakob Dylan, the film explores the beginnings of the Laurel Canyon music scene. Dylan uncovers never-before-heard personal details behind the bands and their songs and how that music continues to inspire today. Echo in the Canyon contains candid conversations and performances with Brian Wilson, Ringo Starr, Michelle Phillips, Eric Clapton, Stephen Stills, David Crosby, Graham Nash, Roger McGuinn and Jackson Browne as well as contemporary musicians they influenced such as Tom Petty (in his very last film interview), Beck, Fiona Apple, Cat Power, Regina Spektor and Norah Jones.",Andrew Slater (XI),male,94,92,"A thoroughly entertaining look at the Laurel Canyon scene as well as the musical history surrounding it, Echo in the Canyon is essential viewing for rock doc fans."
Egg,NR,Comedy,1/18/19,"An unflinching comedy about why women choose motherhood, why they revere it, fear it, and why some women choose to forgo it. Over the course of one explosive evening, two couples and a surrogate must face their own ridiculous and sometimes heartbreaking shortcomings. With sharp cutting dialogue and complicated characters, EGG is about the personal, social, professional, and ideological implications of bringing new life into the world. Artist Tina (Alysia Reiner, ""Orange Is the New Black"") and her passive-aggressive feminist husband (Gbenga Akinnagbe, ""The Deuce"") invite her eight-months pregnant art school rival (Christina Hendricks,""Mad Men"") and power hungry, new-money husband (David Alan Basche, The Exes) to their Brooklyn loft, surprising them with Tina's new work-in-progress: a radical alternative to motherhood. But when their sensuous, non-traditional surrogate arrives (Anna Camp, Pitch Perfect) the truth comes out, and the patriarchy fights to hang on by its teeth.",Marianna Palka,female,100,43,
El Camino: A Breaking Bad Movie,NR,"Drama, Mystery & Suspense, Television",10/11/19,"The Netflix Television Event EL CAMINO: A BREAKING BAD MOVIE reunites fans with Jesse Pinkman (Emmy-winner Aaron Paul). In the wake of his dramatic escape from captivity, Jesse must come to terms with his past in order to forge some kind of future.",Vince Gilligan,male,90,82,"Entertaining if not essential, El Camino adds a satisfying belated coda to the Breaking Bad story -- led by a career-best performance from Aaron Paul."
El Chicano,R,"Action & Adventure, Drama",5/3/19,"When L.A.P.D. Detective Diego Hernandez is assigned a career-making case investigating a vicious cartel, he uncovers links to his brother's supposed suicide and a turf battle that's about to swallow his neighborhood. Torn between playing by the book and seeking justice, he resurrects the masked street legend El Chicano. Now, out to take down his childhood buddy turned gang boss, he sets off a bloody war to defend his city and avenge his brother's murder",Ben Hernandez Bray,male,38,60,"El Chicano represents a step forward for representation in superhero cinema -- unfortunately, its clichéd story is nothing more than ordinary."
Eli,R,Horror,1/4/19,"ELI is the story of a young boy plagued with an unknown, debilitating illness that requires him to live completely sealed off from the outside world. After exhausting every option, his parents put their trust -- and his life -- in the hands of a doctor whose experimental, cutting edge treatments may hold Eli's last hope. As Eli undergoes the tremendously intense process that could potentially cure him, he begins to be haunted by experiences that make him question who he can trust.",Ciaran Foy,male,48,44,"Intermittently effective if not wholly successful, Eli offers horror fans a handful of jump scares in search of a truly terrifying story."
Escape Room,PG-13,"Action & Adventure, Mystery & Suspense",1/4/19,Escape Room is a psychological thriller about six strangers who find themselves in circumstances beyond their control and must use their wits to find the clues or die.,Adam Robitel,male,50,52,"Escape Room fails to unlock much of the potential in its premise, but what's left is still tense and thrilling enough to offer a passing diversion for suspense fans."
Everybody Knows (Todos lo saben),R,"Art House & International, Drama",2/8/19,"The film follows Laura (Cruz) on her travels from Argentina to her small home town in Spain for her sister's wedding, bringing her two children along for the occasion. Amid the joyful reunion and festivities, the eldest daughter is abducted. In the tense days that follow, various family and community tensions surface and deeply hidden secrets are revealed.",Asghar Farhadi,male,79,61,Everybody Knows is somewhat less than the sum of its parts despite the efforts of an outstanding cast - and a disappointing step back for writer-director Asghar Farhadi.
"Extremely Wicked, Shockingly Evil and Vile",R,Mystery & Suspense,5/3/19,"Elizabeth Kloepfer refused for years to acknowledge that her boyfriend was a serial killer. Her partner, Ted Bundy, became famous in the 1980s for committing several heinous crimes against women, despite her disbelief, who watched passively as the murders were unleashed from a very unique perspective.",Joe Berlinger,male,56,58,"Extremely Wicked, Shockingly Evil and Vile often transcends its narrative limitations through sheer force of Zac Efron's compulsively watchable performance."
Fast & Furious Presents: Hobbs & Shaw,PG-13,"Action & Adventure, Mystery & Suspense",8/2/19,"Ever since hulking lawman Hobbs (Dwayne Johnson), a loyal agent of America's Diplomatic Security Service, and lawless outcast Shaw (Jason Statham), a former British military elite operative, first faced off in 2015's Furious 7, the duo have swapped smack talk and body blows as they've tried to take each other down. But when cyber-genetically enhanced anarchist Brixton (Idris Elba) gains control of an insidious bio-threat that could alter humanity forever--and bests a brilliant and fearless rogue MI6 agent (The Crown's Vanessa Kirby), who just happens to be Shaw's sister--these two sworn enemies will have to partner up to bring down the only guy who might be badder than themselves.",David Leitch,male,67,88,"Hobbs & Shaw doesn't rev as high as the franchise's best installments, but gets decent mileage out of its well-matched stars and over-the-top action sequences."
Fast Color,PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy",4/19/19,"Hunted by mysterious forces, a young woman (Gugu Mbatha-Raw) with supernatural abilities must go on the run when her powers are discovered. With nowhere else to go, she flees back to her family and the farmhouse she abandoned long ago. There, while being pursued by the local Sheriff (David Strathairn), she begins to mend the broken relationships with her mother (Lorraine Toussaint) and daughter (Saniyya Sidney) and learns that the power she needed was inside her all along.",Julia Hart,female,82,71,"A grounded superhero story with more on its mind than punching bad guys, Fast Color leaps over uneven execution with a single Gugu Mbatha-Raw performance."
Fighting with My Family,PG-13,Comedy,2/22/19,"FIGHTING WITH MY FAMILY is a heartwarming comedy based on the incredible true story of WWE Superstar Paige(TM). Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for WWE. But when only Paige earns a spot in the competitive training program, she must leave her family and face this new, cut-throat world alone. Paige's journey pushes her to dig deep, fight for her family, and ultimately prove to the world that what makes her different is the very thing that can make her a star.",Stephen Merchant,male,92,83,"Much like the sport it celebrates, Fighting with My Family muscles past clichés with a potent blend of energy and committed acting that should leave audiences cheering."
Five Feet Apart,PG-13,"Drama, Romance",3/15/19,"Stella Grant (Haley Lu Richardson) is every bit a seventeen-year-old... she's attached to her laptop and loves her best friends. But unlike most teenagers, she spends much of her time living in a hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control -- all of which is put to the test when she meets an impossibly charming fellow CF patient named Will Newman (Cole Sprouse). There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction. Further complicating matters is Will's potentially dangerous rebellion against his ongoing medical treatment. Stella gradually inspires Will to live life to the fullest, but can she ultimately save the person she loves when even a single touch is off limits?",Justin Baldoni,male,54,79,"Elevated considerably by Haley Lu Richardson's performance but bogged down by clichés, Five Feet Apart doesn't tug at the heartstrings quite as deftly as it should."
Giant Little Ones,R,Drama,3/1/19,"Franky Winter (Josh Wiggins) and Ballas Kohl (Darren Mann) have been best friends since childhood. They are high school royalty: handsome, stars of the swim team and popular with girls. They live a perfect teenage life - until the night of Franky's epic 17th birthday party, when Franky and Ballas are involved in an unexpected incident that changes their lives forever. Giant Little Ones is a heartfelt and intimate coming-of-age story about friendship, self-discovery, and the power of love without labels.",Keith Behrman,male,93,82,"Giant Little Ones puts a complex and refreshingly nuanced spin on the traditional coming of age drama, further elevated by the admirable efforts of a talented cast."
Girl,R,"Art House & International, Drama",1/18/19,"GIRL tells the story of 15-year-old Lara who wants to become a ballerina, with a classical training for female dancers. Lara is accepted in a ballet school and her dream seems closer than ever. But there is one problem: Lara was born into the body of a boy. A body that she will push to its limits in order for her to succeed.",Lukas Dhont,male,84,68,Girl uses one aspiring dancer's story as the framework for a poignant drama that approaches its difficult themes with fittingly alluring grace.
Glass,PG-13,"Drama, Mystery & Suspense",1/18/19,"From Unbreakable, Bruce Willis returns as David Dunn as does Samuel L. Jackson as Elijah Price, known also by his pseudonym Mr. Glass. Joining from Split are James McAvoy, reprising his role as Kevin Wendell Crumb and the multiple identities who reside within, and Anya Taylor-Joy as Casey Cooke, the only captive to survive an encounter with The Beast. Following the conclusion of Split, Glass finds Dunn pursuing Crumb's superhuman figure of The Beast in a series of escalating encounters, while the shadowy presence of Price emerges as an orchestrator who holds secrets critical to both men.",M. Night Shyamalan,male,37,69,"Glass displays a few glimmers of M. Night Shyamalan at his twisty world-building best, but ultimately disappoints as the conclusion to the writer-director's long-gestating trilogy."
Gloria Bell,R,"Comedy, Romance",3/22/19,"Gloria (Julianne Moore) is a free-spirited divorcée who spends her days at a straight-laced office job and her nights on the dance floor, joyfully letting loose at clubs around Los Angeles. After meeting Arnold (John Turturro) on a night out, she finds herself thrust into an unexpected new romance, filled with both the joys of budding love and the complications of dating, identity and family.",Sebastián Lelio,male,91,44,"Free of visual or narrative embellishments, Gloria Bell rests almost completely on Julianne Moore's performance in the title role -- and she's gloriously up to the task."
